Age,time,City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual TC one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoffs_impact_you,company_layoffs,Did you already find a new job?,Do you currently search for a job?,company_hire_in_2024,company_industry,change_jobs,tc_new_job,unemployed_last_tc_salary,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool
35,12/9/2024 13:52,Berlin,,Full/Part-time employee,Data Scientist,,8,4,Senior,,SQL,,"Python,SQL",1.70,101-1000,83200,83200,80000,30,,,,,40,,No,,,Yes,Advertising Services,No,,,,,Invisible,Yes,"OpenAI ChatGPT,Anthropic Claude"
35,12/9/2024 13:57,Berlin,,Full/Part-time employee,Product Designer / UX/UI Designer/Researcher,,5,2,Senior,,Non-tech instruments,,Other,2.00,101-1000,80000,80000,75000,30,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
32,12/9/2024 13:58,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,9,5,Senior,,Python,,"Bash / Zsh / PowerShell,Other",2.00,1000,82000,97000,95000,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
30,12/9/2024 13:58,Frankfurt,,Full/Part-time employee,Product Designer / UX/UI Designer/Researcher,,5,3,Senior,,,,,3.00,11-50,60000,60000,60000,24,,,,,40,No,"Yes, both in 2023-2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,OpenAI ChatGPT
34,12/9/2024 13:58,Dusseldorf,,Full/Part-time employee,Other,CRM Consultant,7,7,Mid-level,,SQL,,,0.50,51-100,60000,60000,62000,30,,,,,40,,I dont know,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",Yes,worse than it was,,"Involuntarily, I was forced to look for a new job",6.0,Invisible,Yes,OpenAI ChatGPT
33,12/9/2024 14:00,Berlin,,Full/Part-time employee,Software Engineer,,6,6,Mid-level,,JavaScript / TypeScript,,Ruby,2.75,1000,98520,130000,100000,40,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,Microsoft Copilot
33,12/9/2024 14:00,Berlin,,Full/Part-time employee,Data Engineer / Analytics Engineer,,5,3,Senior,,SQL,,"Python,Dashboards (Power BI / Tableau / Looker / etc.)",1.00,1000,78000,78000,65000,28,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Other,No,,,,,Invisible,Yes,OpenAI ChatGPT
32,12/9/2024 14:00,Nuremberg,,Full/Part-time employee,Product Manager,,9,3,Mid-level,,Non-tech instruments,,Dashboards (Power BI / Tableau / Looker / etc.),1.00,1000,65000,69000,,,,,,,40,,No,,,Yes,Retail and Consumer Services,No,,,,,,Yes,Microsoft Copilot
37,12/9/2024 14:00,Berlin,,Full/Part-time employee,Engineering Manager,,14,8,Staff / Lead / Manager,,Python,,,6.00,1000,110000,260000,160000,unlimited,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Retail and Consumer Services,No,,,,,Great,Yes,Google Gemini
30,12/9/2024 14:01,Munich,,Full/Part-time employee,Software Engineer,,8,5,Staff / Lead / Manager,,JavaScript / TypeScript,,Go,3.00,11-50,11000,11004,,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
35,12/9/2024 14:03,Berlin,,Full/Part-time employee,Engineering Manager,,15,2,Staff / Lead / Manager,,JavaScript / TypeScript,,"Java / Scala / Kotlin,Python,.NET,Go,PHP,SQL,Swift,NodeJS,Terraform,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP),Docker",3.00,101-1000,114000,114000,96000,unlimited,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,JetBrains AI,Other"
30,12/9/2024 14:05,Berlin,,Full/Part-time employee,Software Engineer,,9,2,Mid-level,,Python,,"Kubernetes,Docker",2.00,1000,84000,110000,90000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other"
29,12/9/2024 14:07,Berlin,,Full/Part-time employee,Other,Team Lead of Researchers,8,2,Staff / Lead / Manager,,Non-tech instruments,,,2.00,1000,40000,40000,32000,28,,,,,30,No,"Yes, both in 2023-2024",,,Yes,Other,No,,,,,Great,Yes,"OpenAI ChatGPT,Google Bard,Midjourney"
42,12/9/2024 14:08,Berlin,,Full/Part-time employee,Engineering Manager,,20,9,Staff / Lead / Manager,,Non-tech instruments,,"JavaScript / TypeScript,Swift,Terraform,Cloud (AWS / Azure / GCP),Kubernetes",1.00,11-50,95000,105000,84000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Voluntary, it was my decision",3.0,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude"
36,12/9/2024 14:09,Dusseldorf,,Full/Part-time employee,Product Manager,,10,10,Senior,,Non-tech instruments,,,2.00,1000,83000,92000,88268,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
39,12/9/2024 14:11,Berlin,,Full/Part-time employee,Software Engineer,,15,2,Senior,,JavaScript / TypeScript,,"SQL,Docker",0.50,up to 10,95000,95000,95000,25,,,,,40,,No,,,"Yes, but only for backfilling",Financial Services,Yes,about the same,,"Voluntary, it was my decision",1.0,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude"
32,12/9/2024 14:15,Berlin,,Full/Part-time employee,Data / Business / Product Analyst,,5,5,Mid-level,,SQL,,"Python,Dashboards (Power BI / Tableau / Looker / etc.)",1.00,51-100,60000,60000,55000,28,,,,,40,"Yes, I am NOT satisfied with a severance package","Yes, both in 2023-2024",I didn't search,,Yes,Higher Education,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Anthropic Claude"
30,12/9/2024 14:15,Karlsruhe,,Full/Part-time employee,Machine Learning Engineer,,7,7,Senior,,Python,,"Python,Java / Scala / Kotlin,Cloud (AWS / Azure / GCP),Kubernetes,Docker,Other",0.50,101-1000,100000,100000,82000,26,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Voluntary, it was my decision",,Great,Yes,"OpenAI ChatGPT,Other"
35,12/9/2024 14:16,Berlin,,Full/Part-time employee,Backend Software Engineer,,13,3,Senior,,Java / Scala / Kotlin,,"Terraform,Cloud (AWS / Azure / GCP)",3.00,101-1000,75000,75000,,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling",Financial Services,No,,,,,Moderate but noticeable,No,
27,12/9/2024 14:16,Munich,,Full/Part-time employee,Product Designer / UX/UI Designer/Researcher,,9,3,Mid-level,,Other,,,3.00,1000,45900,48000,47900,28,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Midjourney"
27,12/9/2024 14:16,Berlin,,Full/Part-time employee,Backend Software Engineer,,6,6,Senior,,,,"Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,101-1000,99000,102000,80000,29,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
37,12/9/2024 14:17,Berlin,,Full/Part-time employee,Frontend Software Engineer,,10,5,Senior,,JavaScript / TypeScript,,NodeJS,1.00,11-50,85000,85000,,27,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Anthropic Claude,Other"
31,12/9/2024 14:17,Dusseldorf,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,9,9,Staff / Lead / Manager,,Java / Scala / Kotlin,,"Go,Java / Scala / Kotlin,JavaScript / TypeScript,Docker",2.00,1000,71000,72500,69000,25,,,,,38,,I dont know,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot,Microsoft Bing,JetBrains AI"
48,12/9/2024 14:17,Stuttgart,,Full/Part-time employee,Technical Program / Project Manager,,9,9,Mid-level,,Non-tech instruments,,,2.00,1000,85000,90000,,30,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,Microsoft Copilot
27,12/9/2024 14:18,Berlin,,Full/Part-time employee,Machine Learning Engineer,,4,1,Mid-level,,Python,,Terraform,0.25,1000,77500,80000,,25,,,,,40,,I dont know,,,Yes,Financial Services,Yes,better than it was,,"Voluntary, it was my decision",1.5,Moderate but noticeable,Yes,Microsoft Copilot
34,12/9/2024 14:18,Berlin,,Full/Part-time employee,DevOps Engineer,,6,3,Senior,,Cloud (AWS / Azure / GCP),,"Python,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP),Kubernetes,Docker",2.00,51-100,90000,90500,90000,28,,,,,40,,No,,,Yes,Advertising Services,No,,,,,Invisible,Yes,OpenAI ChatGPT
38,12/9/2024 14:21,Stuttgart,,Full/Part-time employee,DevOps Engineer,,6,6,Senior,,PHP,,"JavaScript / TypeScript,Kubernetes,Docker,SQL",2.00,1000,63000,63000,60000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,JetBrains AI"
24,12/9/2024 14:22,Berlin,,Temporarily unemployed,Frontend Software Engineer,,5,2,Mid-level,,JavaScript / TypeScript,,"Go,Docker",0.50,up to 10,,,,,,,,,,,No,,"Yes, passively",Yes,"Information Services, IT, Software Development, or other Technology",Yes,about the same,63000,"Involuntarily, I was forced to look for a new job",,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude,JetBrains AI,Other"
22,12/9/2024 14:23,Berlin,,Full/Part-time employee,Software Engineer,,5,2,Senior,,JavaScript / TypeScript,,"Go,SQL,Docker",0.75,up to 10,69000,69000,72000,25,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,about the same,,"Involuntarily, I was forced to look for a new job",3.0,Invisible,No,
35,12/9/2024 14:23,Munich,,Full/Part-time employee,DevOps Engineer,,15,2,Senior,,Cloud (AWS / Azure / GCP),,"Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",,1000,115000,120000,105000,30,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
33,12/9/2024 14:24,Berlin,,Full/Part-time employee,Frontend Software Engineer,,8,2,Senior,,JavaScript / TypeScript,,,,1000,80800,87000,80000,30,,,,,38,,No,,,Yes,Financial Services,No,,,,,Invisible,No,
34,12/9/2024 14:24,Munich,,Full/Part-time employee,DevOps Engineer,,14,6,Senior,,Kubernetes,,"Cloud (AWS / Azure / GCP),Terraform",,1000,86000,88000,84000,30,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Other"
37,12/9/2024 14:25,Bonn,,Full/Part-time employee,Backend Software Engineer,,7,3,Senior,,Java / Scala / Kotlin,,"Docker,Kubernetes,Cloud (AWS / Azure / GCP)",7.00,1000,75000,75000,,30,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Other"
27,12/9/2024 14:26,Other,Wiesbaden,Full/Part-time employee,Data / Business / Product Analyst,,4,4,Mid-level,,SQL,,"Python,R,Other",0.30,1000,60560,60560,31320,30,,,,,39,,No,,,Yes,Other,Yes,better than it was,,"Voluntary, it was my decision",4.0,Great,Yes,OpenAI ChatGPT
43,12/9/2024 14:27,Karlsruhe,,Full/Part-time employee,Software Engineer,,20,6,Mid-level,,Java / Scala / Kotlin,,"JavaScript / TypeScript,C# / .NET core,.NET,SQL,Dashboards (Power BI / Tableau / Looker / etc.)",2.00,101-1000,72000,72000,64000,30,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Great,No,
40,12/9/2024 14:29,Berlin,,Full/Part-time employee,Data Engineer / Analytics Engineer,,4,4,Senior,,Cloud (AWS / Azure / GCP),,"Python,SQL,Terraform,Cloud (AWS / Azure / GCP),Docker",0.70,1000,75000,75000,72000,30,,,,,40,,No,,,Yes,Other,Yes,about the same,,"Voluntary, it was my decision",3.0,Invisible,Yes,"OpenAI ChatGPT,Google Gemini"
40,12/9/2024 14:30,Munich,,Full/Part-time employee,Software Engineer,,17,9,Staff / Lead / Manager,,PHP,,"Python,JavaScript / TypeScript,Go,PHP,SQL,NodeJS,Bash / Zsh / PowerShell,Docker",6.50,1000,104000,104000,100000,28,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot,JetBrains AI"
33,12/9/2024 14:31,Berlin,,Full/Part-time employee,Backend Software Engineer,,8,2,Senior,,Java / Scala / Kotlin,,"Python,SQL,Bash / Zsh / PowerShell,Kubernetes,Cloud (AWS / Azure / GCP),Docker",2.00,1000,99750,99750,95000,27,,,,,40,,"Yes, in 2023",,,Yes,Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
38,12/9/2024 14:31,Berlin,,Full/Part-time employee,Engineering Manager,,19,12,Staff / Lead / Manager,,Go,,"SQL,Docker,Kubernetes,Cloud (AWS / Azure / GCP),Python",11.00,1000,120000,120000,100000,30,,,,,40,,"Yes, in 2023",,,"Yes, but only for backfilling",Wholesale,No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot,Google Gemini"
35,12/9/2024 14:36,Augsburg,,Full/Part-time employee,Software Engineer,,5,5,Senior,,C# / .NET,,C / C++,,11-50,72000,78000,68000,30,,,,,40,No,"Yes, in 2024",,,Yes,Other,No,,,,,Invisible,Yes,OpenAI ChatGPT
36,12/9/2024 14:37,Berlin,,Full/Part-time employee,Software Engineer,,16,1,Senior,,C / C++,,"C# / .NET core,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP)",7.00,1000,149485,149485,140520,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
32,12/9/2024 14:38,Berlin,,Full/Part-time employee,Software Engineer,,7,6,Senior,,Go,,"JavaScript / TypeScript,Bash / Zsh / PowerShell,Docker,Kubernetes,Terraform",3.00,101-1000,115000,220000,,unlimited,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
44,12/9/2024 14:40,Munich,,Full/Part-time employee,Other,Test Manager,22,18,Staff / Lead / Manager,,Java / Scala / Kotlin,,"SQL,Other,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP)",11.00,1000,91000,11000,97000,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Other,No,,,,,Invisible,No,
45,12/9/2024 14:42,Augsburg,,Full/Part-time employee,Backend Software Engineer,,25,6,Mid-level,,Java / Scala / Kotlin,,"JavaScript / TypeScript,SQL,Docker,Bash / Zsh / PowerShell",2.00,11-50,57000,57000,,,,,,,38,No,"Yes, in 2024",,,No,Retail and Consumer Services,No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
38,12/9/2024 14:42,Berlin,,Temporarily unemployed,Product Designer / UX/UI Designer/Researcher,,10,3,Senior,,Other,,,3.00,11-50,,,,,,,,,,,I dont know,,"Yes, actively",Yes,Financial Services,No,,77000,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Midjourney"
35,12/9/2024 14:45,Berlin,,Full/Part-time employee,Software Engineer,,12,6,Senior,,Cloud (AWS / Azure / GCP),,"Python,SQL,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,101-1000,115000,115000,115000,30,,,,,40,,"Yes, in 2023",,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
25,12/9/2024 14:46,Munich,,Full/Part-time employee,Product Designer / UX/UI Designer/Researcher,,4,1,Mid-level,,Non-tech instruments,,,1.00,11-50,56000,56000,56000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other"
30,12/9/2024 14:47,Hamburg,,Full/Part-time employee,Frontend Software Engineer,,10,0,Senior,,JavaScript / TypeScript,,Docker,0.25,101-1000,78000,78000,,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,worse than it was,,"Voluntary, it was my decision",24.0,Invisible,Yes,OpenAI ChatGPT
35,12/9/2024 14:47,Dusseldorf,,Full/Part-time employee,Technical Program / Project Manager,,12,8,Senior,,DWC,,SAP / ABAP,3.00,1000,110000,110000,,,,,,,40,,No,,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,,Moderate but noticeable,No,
33,12/9/2024 14:47,Munich,,Full/Part-time employee,Mobile Software Engineer,,3,3,Mid-level,,Swift,,"Python,Bash / Zsh / PowerShell",3.00,101-1000,65000,65000,,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,Microsoft Copilot
31,12/9/2024 14:48,Berlin,,Full/Part-time employee,Backend Software Engineer,,8,2,Senior,,Go,,"PHP,SQL,Kubernetes,Cloud (AWS / Azure / GCP),Docker",,1000,100000,118000,,28,,,,,40,,"Yes, in 2023",,,Yes,Retail and Consumer Services,No,,,,,Great,Yes,OpenAI ChatGPT
49,12/9/2024 14:48,Munich,,Full/Part-time employee,Software Engineer,,10,10,Senior,,SAP / ABAP,,,,101-1000,79200,79300,,30,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,,,
43,12/9/2024 14:49,Bochum,,Full/Part-time employee,Data Engineer / Analytics Engineer,,5,5,Senior,,Other,Azure,"Python,SQL,Terraform",2.00,1000,68000,70000,70000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,OpenAI ChatGPT
38,12/9/2024 14:51,Munich,,Full/Part-time employee,Backend Software Engineer,,17,0,Senior,,Java / Scala / Kotlin,,"Python,JavaScript / TypeScript,SQL,Terraform,Kubernetes,Docker",1.80,1000,103000,113300,,30,,,,,40,,I dont know,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,OpenAI ChatGPT
40,12/9/2024 14:51,Berlin,,Full/Part-time employee,Engineering Manager,,18,10,Staff / Lead / Manager,,NodeJS,,"Python,JavaScript / TypeScript,SQL,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP),Docker",8.00,1000,85000,94000,85000,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
33,12/9/2024 14:51,Berlin,,Full/Part-time employee,Engineering Manager,,9,2,Staff / Lead / Manager,,Swift,,,2.00,1000,110000,110000,105000,29,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
39,12/9/2024 14:53,Berlin,,Full/Part-time employee,Engineering Manager,,17,12,Staff / Lead / Manager,,Java / Scala / Kotlin,,"JavaScript / TypeScript,Kubernetes,Cloud (AWS / Azure / GCP),Docker,Python,SQL,Bash / Zsh / PowerShell",5.00,1000,121000,130000,134000,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude,Google Gemini"
32,12/9/2024 14:59,Hamburg,,Full/Part-time employee,Software Engineer,,3,2,Senior,,JavaScript / TypeScript,,"Go,NodeJS,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Docker,Other",1.00,1000,83000,90000,70000,28,,,,,40,,No,,,Yes,Financial Services,Yes,better than it was,,"Voluntary, it was my decision",,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other,Anthropic Claude"
32,12/9/2024 15:03,Berlin,,Full/Part-time employee,Data Scientist,,9,9,Senior,,Python,,"SQL,Go,Cloud (AWS / Azure / GCP),Dashboards (Power BI / Tableau / Looker / etc.),Docker,Kubernetes",3.00,1000,102000,190000,178000,29,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,Anthropic Claude
41,12/9/2024 15:06,Berlin,,Full/Part-time employee,Frontend Software Engineer,,18,9,Staff / Lead / Manager,,JavaScript / TypeScript,,,2.00,101-1000,110000,111000,106000,27,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
29,12/9/2024 15:11,Berlin,,Temporarily unemployed,Data Scientist,,8,6,Mid-level,,Python,,"Python,SQL,Cloud (AWS / Azure / GCP),Docker",2.00,1000,,,,,,,,,,,"Yes, in 2023",,No,"Yes, but only for backfilling",Retail and Consumer Services,Yes,worse than it was,75000,"Voluntary, it was my decision",24.0,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
25,12/9/2024 15:11,Berlin,,Full/Part-time employee,Research Scientist,,5,1,Mid-level,,Python,,"Python,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP),Docker",5.00,101-1000,88000,88000,,25,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Voluntary, it was my decision",,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
34,12/9/2024 15:13,Berlin,,Full/Part-time employee,Backend Software Engineer,,12,1,Senior,,Python,,,1.00,101-1000,100000,100000,,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
32,12/9/2024 15:15,Stuttgart,,Full/Part-time employee,Backend Software Engineer,,8,8,Senior,,Java / Scala / Kotlin,,"Cloud (AWS / Azure / GCP),Other",7.00,1000,98000,110000,92000,30,,,,,38,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,No,
31,12/9/2024 15:17,Berlin,,Full/Part-time employee,Frontend Software Engineer,,10,4,Senior,,JavaScript / TypeScript,,"Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Dashboards (Power BI / Tableau / Looker / etc.)",3.75,1000,97000,118000,,29,,,,,40,,"Yes, in 2023",,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Google Gemini"
27,12/9/2024 15:17,Berlin,,Full/Part-time employee,Product Manager,,8,3,Senior,,SQL,,"Other,Dashboards (Power BI / Tableau / Looker / etc.),SQL",2.00,101-1000,75000,75000,70000,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
38,12/9/2024 15:18,Hamburg,,Full/Part-time employee,Product Manager,,16,9,Junior,,Non-tech instruments,,"Dashboards (Power BI / Tableau / Looker / etc.),SQL,Cloud (AWS / Azure / GCP),Docker",1.00,1000,70000,70000,85000,29,,,,,40,,No,,,Yes,Other,Yes,worse than it was,,"Voluntary, it was my decision",2.0,Great,Yes,OpenAI ChatGPT
34,12/9/2024 15:24,Berlin,,Full/Part-time employee,Software Engineer,,10,5,Senior,,C# / .NET,,"C# / .NET core,.NET,SQL,Docker,Kubernetes",5.00,11-50,72000,72000,72000,30,,,,,40,No,"Yes, in 2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"Microsoft Copilot,OpenAI ChatGPT"
29,12/9/2024 15:24,Hamburg,,Full/Part-time employee,Software Engineer,,4,4,Mid-level,,C# / .NET,,"Python,JavaScript / TypeScript",3.00,up to 10,65000,65000,60000,28,,,,,40,No,"Yes, in 2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
26,12/9/2024 15:25,Munich,,Full/Part-time employee,Software Engineer,,5,3,Senior,,JavaScript / TypeScript,,"Java / Scala / Kotlin,NodeJS,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP),Terraform,Docker,SQL",3.00,101-1000,98000,102900,95000,,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
30,12/9/2024 15:28,Berlin,,Full/Part-time employee,Data Scientist,,4,4,Mid-level,,Python,,SQL,1.50,51-100,83000,83000,75000,28,,,,,40,No,"Yes, in 2024",,,Yes,"Manufacturing, Transportation, or Supply Chain",Yes,better than it was,,"Voluntary, it was my decision",3.0,Moderate but noticeable,Yes,OpenAI ChatGPT
31,12/9/2024 15:29,Munich,,Full/Part-time employee,Software Engineer,,15,10,Senior,,JavaScript / TypeScript,,"Go,Bash / Zsh / PowerShell,Docker",3.00,1000,180000,400000,300000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,Microsoft Copilot
50,12/9/2024 15:32,Nuremberg,,Full/Part-time employee,Solution Architect / Data Architect,,20,16,Staff / Lead / Manager,,C# / .NET,,".NET,Rust,Kubernetes,Docker,Cloud (AWS / Azure / GCP),Bash / Zsh / PowerShell,SQL",,1000,77300,77300,76000,35,,,,,40,No,"Yes, in 2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"Microsoft Copilot,OpenAI ChatGPT"
38,12/9/2024 15:35,Munich,,Full/Part-time employee,Product Designer / UX/UI Designer/Researcher,,13,3,Senior,,Non-tech instruments,,,3.00,101-1000,66500,66500,,28,,,,,35,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
37,12/9/2024 15:36,Hannover,,Full/Part-time employee,Frontend Software Engineer,,12,3,Senior,,JavaScript / TypeScript,,"NodeJS,Java / Scala / Kotlin,Cloud (AWS / Azure / GCP)",3.00,51-100,75000,75000,,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling","Manufacturing, Transportation, or Supply Chain",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
31,12/9/2024 15:38,Karlsruhe,,Full/Part-time employee,Software Engineer,,11,4,Senior,,C# / .NET,,"SQL,Ruby,Cloud (AWS / Azure / GCP),Docker,JavaScript / TypeScript,NodeJS",4.00,1000,84000,102000,100000,30,,,,,40,,"Yes, in 2023",,,"Yes, but only for backfilling",Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
