Age,time,City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual TC one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoffs_impact_you,company_layoffs,Did you already find a new job?,Do you currently search for a job?,company_hire_in_2024,company_industry,change_jobs,tc_new_job,unemployed_last_tc_salary,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool
30,12/10/2024 10:53,Munich,,Full/Part-time employee,Backend Software Engineer,,10,8,Senior,,Java / Scala / Kotlin,,"SQL,Cloud (AWS / Azure / GCP)",1.50,101-1000,95000,95000,95000,27,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Financial Services,No,,,,,Moderate but noticeable,No,
41,12/10/2024 10:54,Other,Kitzingen,Full/Part-time employee,Software Engineer,,17,12,Senior,,PHP,,"JavaScript / TypeScript,Go,SQL,NodeJS,Kubernetes,Docker",12.00,11-50,50760,51760,,27,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
36,12/10/2024 10:55,Berlin,,Full/Part-time employee,Data / Business / Product Analyst,,4,6,Mid-level,,SQL,,"Python,Other,Dashboards (Power BI / Tableau / Looker / etc.)",3.00,51-100,45600,45600,39600,30,,,,,40,,No,,,"Yes, but only for backfilling",Financial Services,No,,,,,Invisible,Yes,OpenAI ChatGPT
30,12/10/2024 10:55,Berlin,,Full/Part-time employee,Software Engineer,,9,0,Mid-level,,Ruby,,Cloud (AWS / Azure / GCP),0.25,101-1000,65000,65000,,30,,,,,40,,No,,,Yes,Financial Services,Yes,better than it was,,"Voluntary, it was my decision",0.0,Invisible,Yes,"Other,OpenAI ChatGPT"
37,12/10/2024 10:58,Munich,,Full/Part-time employee,Backend Software Engineer,,4,4,Junior,,Java / Scala / Kotlin,,,4.00,1000,56000,60000,,30,,,,,35,No,"Yes, in 2024",,,No,Other,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
43,12/10/2024 11:01,Berlin,,Full/Part-time employee,Backend Software Engineer,,25,7,Senior,,PHP,,Go,2.00,1000,102000,102000,,20,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,No,
30,12/10/2024 11:14,Berlin,,Full/Part-time employee,Software Engineer,,8,1,Senior,,JavaScript / TypeScript,,JavaScript / TypeScript,1.00,101-1000,75000,75000,,30,,,,,40,,No,,,Yes,Healthcare,No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot,JetBrains AI"
29,12/10/2024 11:17,Frankfurt,,Full/Part-time employee,DevOps Engineer,,4,2,Mid-level,,Cloud (AWS / Azure / GCP),,"Python,Cloud (AWS / Azure / GCP),Kubernetes",2.00,1000,61000,65000,62000,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
37,12/10/2024 11:18,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,14,2,Senior,,JavaScript / TypeScript,,"Other,Docker,Bash / Zsh / PowerShell",5.00,101-1000,65000,78000,71000,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2024",Yes,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,about the same,,"Involuntarily, I was forced to look for a new job",2.0,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot,Other,Microsoft Bing"
32,12/10/2024 11:18,Munich,,Full/Part-time employee,Software Engineer,,9,4,Senior,,Swift,,,0.50,101-1000,78000,78000,73000,25,,,,,40,No,"Yes, in 2024",,,No,Retail and Consumer Services,Yes,about the same,,"Involuntarily, I was forced to look for a new job",9.0,Moderate but noticeable,Yes,OpenAI ChatGPT
